Entity_LogicalId,Entity_EU_ReferenceNumber,Address_City,Address_Street,Address_PoBox,Address_ZipCode,Address_Region,Address_Place,Address_AsAtListingTime,Address_ContactInfo,Address_CountryIso2Code,Address_CountryDescription,Address_Remark
327,EU.266.94,Peshawar,"office locations: Headquarters — G. T. Road (probably Grand Trunk Road), near Pushtoon Garhi Pabbi",,,,,NO,,PK,PAKISTAN,
327,EU.266.94,Jalabad,"Cheprahar Hadda, Mia Omar Sabaqah School",,,,,NO,,AF,AFGHANISTAN,
330,EU.522.39,Lahore,"Jamia Masjid Sulaiman Park, Begum Pura",,,,,NO,PHONE[042-681 20 81],PK,PAKISTAN,
330,EU.522.39,Karachi,"Kitab Ghar, Darul Ifta Wal Irshad, Nazimbad No 4",,,,,NO,PHONE[668 33 01; 0300- 820 91 99]\nFAX[662 38 14],PK,PAKISTAN,
330,EU.522.39,Karachi,"302b-40 Good Earth Court, Opposite Pia Planitarium, Block 13a, Gushan-I Igbal",,,,,NO,PHONE[497 92 63],PK,PAKISTAN,
330,EU.522.39,Karachi,"617 Clifton Center, Block 5, 6th floor, Clifton",,,,,NO,PHONE[587-25 45],PK,PAKISTAN,
330,EU.522.39,Karachi,"605 Landmark Plaza, 11 Chundrigar Road, Opposite Jang Building",,,,,NO,PHONE[262 38 18-19],PK,PAKISTAN,
330,EU.522.39,Karachi,"Kitas Ghar, Nazimabad 4, Dahgel-Iftah",,,,,NO,,PK,PAKISTAN,
330,EU.522.39,Lahore,"Jamia Maajid, Sulalman Park, Melgium Pura",,,,,NO,,PK,PAKISTAN,
330,EU.522.39,Mansehra,"Office Dha’rbi-M’unin, Opposite Khyber Bank, Abbottabad Road",,,,,NO,,PK,PAKISTAN,
330,EU.522.39,Peshawar,"Office Dha’rbi-M’unin ZR Brothers, Katcherry Road, Chowk Yadgaar",,,,,NO,,PK,PAKISTAN,
330,EU.522.39,Rawalpindi,"Office Dha’rbi-M’unin, Rm No. 3, Moti Plaza, Near Liaquat Bagh, Muree Road",,,,,NO,,PK,PAKISTAN,
330,EU.522.39,Mingora,"Office Dha’rbi-M’unin, Top Floor, Dr. Dawa Khan Dental Clinic Surgeon, Main Baxae,Mingora",,,Swat,,NO,,PK,PAKISTAN,
382,EU.378.62,,Ein el-Hilweh camp,,,,,NO,,LB,LEBANON,
460,EU.500.10,Kandahar City,,,,,,NO,,AF,AFGHANISTAN,
471,EU.413.74,Lahore,"Room 9A, Second Floor, Wahdat Road, Education Town",,,,,NO,,PK,PAKISTAN,
471,EU.413.74,Lahore,Wares Colony,,,,,YES,,PK,PAKISTAN,
480,EU.3088.19,office locations: Pakistan,,,,,,NO,,PK,PAKISTAN,
480,EU.3088.19,office locations Afghanistan,,,,,,NO,,AF,AFGHANISTAN,
485,EU.526.43,Peshawar,"Jordan house No 125, Street 54, Phase II Hayatabad",,,,,YES,((at the time of listing)),PK,PAKISTAN,(at the time of listing)
485,EU.526.43,,,,,,,YES,((at the time of listing)),KW,KUWAIT,(at the time of listing)
485,EU.526.43,,,,,,,YES,((at the time of listing)),AE,UNITED ARAB EMIRATES,(at the time of listing)
485,EU.526.43,,,,,,,YES,((at the time of listing)),AF,AFGHANISTAN,(at the time of listing)
505,EU.471.56,"Kabul City, Kabul Province","Puli Charkhi Area, District Number 9",,,,,NO,,AF,AFGHANISTAN,
505,EU.471.56,"Iltifat village, Shakardara District,",,,,Kabul Province,Iltifat village,NO,"(Iltifat village, Shakardara District, Kabul Province, Afghanistan)",AF,AFGHANISTAN,"Iltifat village, Shakardara District, Kabul Province, Afghanistan"
507,EU.513.75,,,,,,,NO,(SSN 156-92-9858 (USA)),00,UNKNOWN,SSN 156-92-9858 (USA)
528,EU.514.76,Al-Hudaydah,"Jamal Street, Al-Dahima alley",,,,,NO,,YE,YEMEN,
529,EU.521.38,,,,,,,NO,(Repatriated to Afghanistan in February 2006. He was in Afghanistan as of August 2021.),AF,AFGHANISTAN,Repatriated to Afghanistan in February 2006. He was in Afghanistan as of August 2021.
533,EU.439.10,Sana’a,Shari Tunis,,,,,NO,,YE,YEMEN,
534,EU.369.1,,,,,,,NO,(Believed to be in Algeria as of April 2010 and May 2022),DZ,ALGERIA,Believed to be in Algeria as of April 2010 and May 2022
537,EU.3097.55,TRIPOLI,,,,,,NO,(AS AT FEB 2014),LY,LIBYA,AS AT FEB 2014
604,EU.3851.78,,,,,,,NO,(United States Social Security Number 548-91-5411.),JO,JORDAN,United States Social Security Number 548-91-5411.
640,EU.365.94,Kabul,"Street 13, Wazir Akbar Khan",,,,,NO,,AF,AFGHANISTAN,
651,EU.801.14,Kabul,"Kushal Khan Mena, District Number 5",,,,,NO,,AF,AFGHANISTAN,
709,EU.775.63,Kabul,Khairkhana Section Number 3,,,,,NO,,AF,AFGHANISTAN,
832,EU.785.28,Kabul,Street 13 Wazir Akbar Khan,,,,,NO,,AF,AFGHANISTAN,
923,EU.660.92,,,,,,,NO,(Extradited from the United Kingdom to the United States of America on 5.10.2012.),US,UNITED STATES,Extradited from the United Kingdom to the United States of America on 5.10.2012.
927,EU.3343.85,Tunis,"23 50th Street, Zehrouni",,,,,NO,(Italian Fiscal Code: DAOMMD74T11Z352Z),TN,TUNISIA,Italian Fiscal Code: DAOMMD74T11Z352Z
931,EU.654.34,,,,,,,NO,(Italian Fiscal Code: SSYBLK62T26Z336L),00,UNKNOWN,Italian Fiscal Code: SSYBLK62T26Z336L
932,EU.625.43,Tunis,"Ibn Al-Haythman Street, Manubah",,,,,NO,(Italian Fiscal Code: SSDSBN68B10Z352F),TN,TUNISIA,Italian Fiscal Code: SSDSBN68B10Z352F
941,EU.622.40,Milano,"Via Masina, 7",,,,,NO,,IT,ITALY,
943,EU.558.37,"Jette, Brussels",107/1 rue Léon Théodore,,1090,,,NO,,BE,BELGIUM,
943,EU.558.37,"Jette, Brussel",107/1 Léon Theodorestraat,,1090,,,NO,,BE,BELGIUM,
943,EU.558.37,"Jette, Bruxelles",107/1 rue Léon Théodore,,1090,,,NO,,BE,BELGIUM,
965,EU.661.93,Hamburg,"Bunatwiete, 23",,D-21073,,,NO,,DE,GERMANY,
980,EU.589.30,"Bridgeview, Illinois","9935 South 76th Avenue, Unit 1",,60455,,,NO,,US,UNITED STATES,
980,EU.589.30,"Bridgeview, Illinois",,,PO Box 1406 - 60455,,,NO,,US,UNITED STATES,
983,EU.620.38,Oak Lawn,"8820 Mobile Avenue, 1A",,60453,Illinois,,NO,(US Federal Employer Identification Number 36-3823186),US,UNITED STATES,US Federal Employer Identification Number 36-3823186
983,EU.620.38,,PO box 548,,60482,Illinois,Worth,NO,,US,UNITED STATES,
983,EU.620.38,Palos Hills,"9838 S. Roberts Road, Suite 1W",,60465,Illinois,,NO,(former location),US,UNITED STATES,former location
983,EU.620.38,Newark,"20-24 Branford Place, Suite 705",,07102,New Jersey,,NO,(former location),US,UNITED STATES,former location
983,EU.620.38,Gaza Strip,,,,,,NO,,PS,"PALESTINIAN TERRITORY, Occupied",
983,EU.620.38,Khartoum,,P.O. Box 1937,,,,NO,,SD,SUDAN,
1004,EU.1010.96,Tangerang,"Jalan Nakula, Komplek Witana Harja III Blok C 106-107",,,,,NO,,ID,INDONESIA,
1020,EU.1051.65,,,,,,,NO,(Left Sudan to Tunisia in 2011),TN,TUNISIA,Left Sudan to Tunisia in 2011
1068,EU.4055.25,,,,,State of Selangor,Taman Bukit Ampang,NO,((previous address)),MY,MALAYSIA,(previous address)
1068,EU.4055.25,,,,,,,NO,(In prison from  2013 to 2019.),MY,MALAYSIA,In prison from  2013 to 2019.
1079,EU.3510.20,Karachi,"White House, Near Saudi Mosque, Clifton",,,,,NO,,PK,PAKISTAN,
1079,EU.3510.20,Karachi,"House No 37 – 30th Street – defence, Housing Authority",,,,,NO,,PK,PAKISTAN,
1079,EU.3510.20,Palatial bungalow in the hilly area of Noorabad in Karachi,,,,,,NO,,PK,PAKISTAN,
1084,EU.909.23,Pré Saint Gervais,"41-45,  Rue Estienne d’Orves",,,,,NO,,FR,FRANCE,
1085,EU.955.38,Cremona,Via Bertesi 27,,,,,NO,,IT,ITALY,
1085,EU.955.38,Cremona,Via Plebiscito 3,,,,,NO,,IT,ITALY,
1087,EU.3768.63,Milan,"Via Cilea, 40 (domicile)",,,,,NO,,IT,ITALY,
1088,EU.877.66,Milan,Corso XXII Marzo 39,,,,,NO,,IT,ITALY,
1089,EU.3205.46,Sulaymaniya,,,,,,NO,,IQ,IRAQ,
1092,EU.3496.47,Parma,Via della Martinella 132,,,,,NO,((Domicile)),IT,ITALY,(Domicile)
1095,EU.958.41,Cremona,Via Plebiscito 3,,,,,NO,,IT,ITALY,
1096,EU.3344.50,"Zehrouni, Tunis,",No 2 89th Street,,,,,NO,,TN,TUNISIA,
1098,EU.875.64,,,,,"Daïra de Lakhezara, Guelma",Commune of Bouhechana,NO,,DZ,ALGERIA,
1102,EU.953.36,Sana'a,P.O. Box 8096,,,,,NO,,YE,YEMEN,
1104,EU.994.91,Islamabad,"House No 279, Nazimuddin Road, F-10/1",,,,,YES,,PK,PAKISTAN,
1105,EU.912.78,Nairobi,,,,,,YES,,KE,KENYA,
1105,EU.912.78,Garissa,,,,,,YES,,KE,KENYA,
1105,EU.912.78,Dadaab,,,,,,YES,,KE,KENYA,
1106,EU.913.79,Dar es Salaam,PO box 3616,,,,,YES,,TZ,"TANZANIA, UNITED REPUBLIC OF",
1106,EU.913.79,Tanga,,,,,,YES,,TZ,"TANZANIA, UNITED REPUBLIC OF",
1106,EU.913.79,Singida,,,,,,YES,,TZ,"TANZANIA, UNITED REPUBLIC OF",
1883,EU.1392.26,Amman,,,,,,NO,,JO,JORDAN,
1886,EU.1393.88,Amman,,,,,,NO,,JO,JORDAN,
1894,EU.1403.44,Geneva,,,,,,NO,,CH,SWITZERLAND,
1894,EU.1403.44,Genève,,,,,,NO,,CH,SWITZERLAND,
1894,EU.1403.44,Genf,,,,,,NO,,CH,SWITZERLAND,
1894,EU.1403.44,Ginevra,,,,,,NO,,CH,SWITZERLAND,
1896,EU.1451.22,Geneva,,,,,,NO,,CH,SWITZERLAND,
1896,EU.1451.22,Genève,,,,,,NO,,CH,SWITZERLAND,
1896,EU.1451.22,Genf,,,,,,NO,,CH,SWITZERLAND,
1896,EU.1451.22,Ginevra,,,,,,NO,,CH,SWITZERLAND,
1898,EU.1452.84,Geneva,,,,,,NO,,CH,SWITZERLAND,
1898,EU.1452.84,Genève,,,,,,NO,,CH,SWITZERLAND,
1898,EU.1452.84,Genf,,,,,,NO,,CH,SWITZERLAND,
1898,EU.1452.84,Ginevra,,,,,,NO,,CH,SWITZERLAND,
1900,EU.1453.49,Geneva,,,,,,NO,,CH,SWITZERLAND,
1900,EU.1453.49,Genève,,,,,,NO,,CH,SWITZERLAND,
1900,EU.1453.49,Genf,,,,,,NO,,CH,SWITZERLAND,
1900,EU.1453.49,Ginevra,,,,,,NO,,CH,SWITZERLAND,
1920,EU.1462.85,Geneva,,,,,,NO,,CH,SWITZERLAND,
1920,EU.1462.85,Genève,,,,,,NO,,CH,SWITZERLAND,
1920,EU.1462.85,Genf,,,,,,NO,,CH,SWITZERLAND,
1920,EU.1462.85,Ginevra,,,,,,NO,,CH,SWITZERLAND,
1964,EU.1447.5,,,,,,,NO,(In detention in Algeria as of November 2023),DZ,ALGERIA,In detention in Algeria as of November 2023
1964,EU.1447.5,,,,,Oum El-Bouaghi,Sidi Argis village,NO,,DZ,ALGERIA,
1981,EU.1106.44,Baghdad,"Hai Babil, Lane 11, District 929",,,,,NO,,IQ,IRAQ,
1981,EU.1106.44,Baghdad,"Hai Al-Wahda, Lane 15, Area 902, Office 10",,,,,NO,,IQ,IRAQ,
1981,EU.1106.44,Baghdad,"P.O. Box 2337, Alwiyah",,,,,NO,,IQ,IRAQ,
1982,EU.1415.72,Tirana,"Irfan Tomini Street, 58",,,,,YES,,AL,ALBANIA,
1983,EU.1416.37,Baghdad,"Sadoon St, Al-Ani Building, first floor",,,,,NO,,IQ,IRAQ,
1987,EU.1467.7,Dubai,"Ibrahim Saeed Lootah Building, Al Ramool Street, P.O. Box 10631",,,,,NO,,AE,UNITED ARAB EMIRATES,
1987,EU.1467.7,Dubai,"Rashidiya, 638",,,,,NO,,AE,UNITED ARAB EMIRATES,
1987,EU.1467.7,Dubai,"Lootah Building, Airport Road, near Aviation Club, Rashidya",,,,,NO,,AE,UNITED ARAB EMIRATES,
1987,EU.1467.7,Baghdad,Villa in the Harasiyah area,,,,,NO,,IQ,IRAQ,
1994,EU.1376.78,Ruggell,,,,,,NO,,LI,LIECHTENSTEIN,
2004,EU.1442.83,Dhaka,"House 1, Road 1, S-6, Uttara",,,,,YES,,BD,BANGLADESH,
2029,EU.1301.52,Idleb,P.O. Box 9,,,,,NO,,IQ,IRAQ,
2052,EU.1123.54,Le Paquier-Montbarry,Chemin du Carmel,,1661,,,NO,,CH,SWITZERLAND,
2099,EU.1321.54,Addis Abeba,Woreda District 24 Kebele Section 13,,,,,YES,,ET,ETHIOPIA,
2193,EU.1335.12,Amman,,,,,,NO,,JO,JORDAN,
2196,EU.1292.61,Sarajevo,"Put Mladih Muslimana, 30a (former name ul. Palva Lukaca / Palva Lukaca Street)",,71000,,,NO,,BA,BOSNIA AND HERZEGOWINA,
2196,EU.1292.61,Zenica,"ul. Strossmajerova, 72",,,,,NO,,BA,BOSNIA AND HERZEGOWINA,
2196,EU.1292.61,Sarajevo,"Muhameda Hadzijahica, 42",,,,,NO,,BA,BOSNIA AND HERZEGOWINA,
2196,EU.1292.61,Sarajevo,42 Muhameda Hadžijahića,,,,,NO,,BA,BOSNIA AND HERZEGOWINA,
2196,EU.1292.61,Zenica,70 and 53 Strosmajerova Street,,,,,NO,,BA,BOSNIA AND HERZEGOWINA,
2196,EU.1292.61,Zavidovici,Zlatnih Ljiljana Street,,,,,NO,,BA,BOSNIA AND HERZEGOWINA,
2197,EU.1111.26,Novo Sarajevo,6 Avde Smajlovic Street,,,,,NO,,BA,BOSNIA AND HERZEGOWINA,
2197,EU.1111.26,Visoko,"26, Tabhanska Street",,,,,NO,,BA,BOSNIA AND HERZEGOWINA,
2197,EU.1111.26,Visoko,"3, Velika Cilna Ulica",,,,,NO,,BA,BOSNIA AND HERZEGOWINA,
2220,EU.1338.4,Amsterdam,"Jan Hanzenstraat, 114",,1053 SV,,,YES,((at the time of listing)),NL,NETHERLANDS,(at the time of listing)
2225,EU.1401.17,Amman,P.O. Box 910606,,11191,,,NO,,JO,JORDAN,
2226,EU.1413.45,Amman,"Al-Razi Medical Complex, Jabal Al-Hussein",,,,,NO,,JO,JORDAN,
2226,EU.1413.45,Amman,P.O. Box 212953,,11121,,,NO,,JO,JORDAN,
2226,EU.1413.45,Amman,P.O. Box 910606,,11191,,,NO,,JO,JORDAN,
2325,EU.3453.51,Tunis,"Salam Marnaq, Ben Arous district, Sidi Mesoud",,,,Sidi Mesoud,NO,(Ben Arous district is Tunis),TN,TUNISIA,Ben Arous district is Tunis
2340,EU.1274.86,Sarajevo,14 Bihacka Street,,,,,NO,,BA,BOSNIA AND HERZEGOWINA,
2340,EU.1274.86,Travnik,64 Potur mahala Street,,,,,NO,,BA,BOSNIA AND HERZEGOWINA,
2340,EU.1274.86,Zenica,,,,,,NO,,BA,BOSNIA AND HERZEGOWINA,
2340,EU.1274.86,Sarajevo,2A Hasiba Brankovica,,,,,NO,,BA,BOSNIA AND HERZEGOWINA,
2442,EU.1254.84,Moroni,B/P: 1652,,,,,YES,,KM,COMOROS,
2700,EU.1168.77,"Kuwait City, Al-Riqqa area","Block Four, Street 13, House No 179",,,,,NO,,KW,KUWAIT,
2922,EU.1252.57,"Desa Taman Fajar, Kecamatan Probolinggo, Kabupaten Lampung Timur, Lampung",,,,,,NO,,ID,INDONESIA,
2922,EU.1252.57,"Desa Gebang, Kecamatan Masaran, Kabupaten Sragen, Jawa Tengah",,,,,,NO,,ID,INDONESIA,
3060,EU.1489.36,Cremona,Number 5/B viale Cambonino,,,,,NO,(Italian fiscal code BGHFCL66R28Z352G),IT,ITALY,Italian fiscal code BGHFCL66R28Z352G
3062,EU.1474.16,Paderno Ponchielli (Cremona),Number 4 via Europa,,,,,NO,(Italian fiscal code LGBBLK66D23Z330U),IT,ITALY,Italian fiscal code LGBBLK66D23Z330U
3080,EU.1475.78,Mosul,,,,,,NO,,IQ,IRAQ,
3080,EU.1475.78,Az Zabadani,,,,,,NO,,IQ,IRAQ,
3081,EU.1546.5,Damascus,,,,,,NO,,SY,SYRIAN ARAB REPUBLIC,
3081,EU.1546.5,Az Zabadani,"Al-Shahid Street, Al-Mahata Neighbourhood",,,,,NO,,SY,SYRIAN ARAB REPUBLIC,
3082,EU.1547.67,Bludan,,,,,,NO,,SY,SYRIAN ARAB REPUBLIC,
3082,EU.1547.67,Baghdad,"Mutanabi Area, Al Monsur",,,,,NO,,IQ,IRAQ,
3082,EU.1547.67,"Al Monsur, Baghdad",Mutanabi Area,,,,,NO,,IQ,IRAQ,
3083,EU.1548.32,Az Zabadani,"Al-Shahid Street, Al-Mahata Neighbourhood",,,,,NO,,SY,SYRIAN ARAB REPUBLIC,
3083,EU.1548.32,"Az Zabadani, Damascus",Fuad Dawod Farm,,,,,NO,,SY,SYRIAN ARAB REPUBLIC,
3083,EU.1548.32,Damascus,"Fuad Dawod Farm, Az Zabadani",,,,,NO,,SY,SYRIAN ARAB REPUBLIC,
3084,EU.1566.7,"Az Zabadani, Damascus",Fuad Dawod Farm,,,,,NO,,SY,SYRIAN ARAB REPUBLIC,
3084,EU.1566.7,Damascus,"Fuad Dawod Farm, Az Zabadani",,,,,NO,,SY,SYRIAN ARAB REPUBLIC,
3084,EU.1566.7,Beirut,,,,,,NO,,LB,LEBANON,
3085,EU.1567.69,Az Zabadani,"Al-Shahid Street, Al-Mahata Neighbourhood",,,,,NO,,SY,SYRIAN ARAB REPUBLIC,
3100,EU.1601.44,Karachi,"ST-1/A, Gulsahn-e-Iqbal, Block 2",,25300,,,NO,,PK,PAKISTAN,
3100,EU.1601.44,Karachi,"Gulistan-e-Jauhar, Block 12",,,,,NO,,PK,PAKISTAN,
3146,EU.1550.22,London,,,,,,NO,,GB,UNITED KINGDOM,
3181,EU.3607.30,Kinshasa,,,,,,NO,"(Address: Kinshasa, Democratic Republic of the Congo (as of June 2016))",CD,"CONGO, Democratic Republic of (was Zaire)","Address: Kinshasa, Democratic Republic of the Congo (as of June 2016)"
3183,EU.3712.74,,,,,,,NO,(Address: Democratic Republic of the Congo (in prison).),CD,"CONGO, Democratic Republic of (was Zaire)",Address: Democratic Republic of the Congo (in prison).
3185,EU.3731.14,,,,,,,NO,(Address: Uganda (as of May 2016)),UG,UGANDA,Address: Uganda (as of May 2016)
3186,EU.3733.41,Gisenyi,,,,,,NO,"(Gisenyi, Rwanda (as of June 2011).)",RW,RWANDA,"Gisenyi, Rwanda (as of June 2011)."
3187,EU.3704.3,,,,,North Kivu Province,,NO,"(Address: North Kivu Province, Democratic Republic of the Congo (as of June 2016))",CD,"CONGO, Democratic Republic of (was Zaire)","Address: North Kivu Province, Democratic Republic of the Congo (as of June 2016)"
3188,EU.3623.75,,,,,,,NO,(Address: Germany (in prison).),DE,GERMANY,Address: Germany (in prison).
3195,EU.3649.61,,,,,,,NO,((as of 14 December 2022)),BE,BELGIUM,(as of 14 December 2022)
3196,EU.3676.72,"Goma, North Kivu",,,,,,NO,,CD,"CONGO, Democratic Republic of (was Zaire)",
3224,EU.3206.11,Arbil — Qushtuba,"house no. SH 11, alley 5380",,,,,NO,"(house no. SH 11, alley 5380)",IQ,IRAQ,"house no. SH 11, alley 5380"
3225,EU.4066.88,Lanao del Sur,,,,,,NO,"(Lanao del Sur, the Philippines (location since 2016))",PH,PHILIPPINES,"Lanao del Sur, the Philippines (location since 2016)"
3225,EU.4066.88,Basilan,,,,,,NO,"(Basilan, the Philippines (previous location until 2016))",PH,PHILIPPINES,"Basilan, the Philippines (previous location until 2016)"
3229,EU.4046.86,,,,,Sulu region,,NO,"(Sulu region, Philippines (reported location))",PH,PHILIPPINES,"Sulu region, Philippines (reported location)"
3360,EU.3974.37,"El Waha, Omdurman",,,,,,NO,,SD,SUDAN,
3361,EU.3950.78,Kutum,,,,,,NO,"(Kutum, Sudan (resides in Kabkabiya and the city of Kutum, Northern Darfur and has resided in Khartoum))",SD,SUDAN,"Kutum, Sudan (resides in Kabkabiya and the city of Kutum, Northern Darfur and has resided in Khartoum)"
3361,EU.3950.78,Kabkabiya,,,,,,NO,,SD,SUDAN,
3363,EU.3819.85,Tine,,,,,,NO,"(Tine, Sudan (resides in Tine, on the Sudanese side of the border with Chad))",SD,SUDAN,"Tine, Sudan (resides in Tine, on the Sudanese side of the border with Chad)"
3411,EU.3334.49,Minsk,"Belarus President Property Management Directorate, 38 Karl Marx St.",,220016,,,NO,,BY,BELARUS,
3412,EU.3480.62,Minsk,"Belarusian Association of Veterans of Special Forces of the Ministry of Internal Affairs ‘Honour’, 111 Mayakovskogo St.",,220028,,,NO,,BY,BELARUS,
3420,EU.1914.29,London,53/64 Chancery Lane,,WC2A 1QU,,,NO,(Registered company number: 02150590 (United Kingdom)),GB,UNITED KINGDOM,Registered company number: 02150590 (United Kingdom)
3421,EU.1915.91,London,53/64 Chancery Lane,,WC2A 1QU,,,NO,(Registered company number: 02142819 (United Kingdom)),GB,UNITED KINGDOM,Registered company number: 02142819 (United Kingdom)
3641,EU.3310.90,Oslo,36-V Heimdalsgate,,0578,,,NO,,NO,NORWAY,
3700,EU.3084.62,East London,,,,,,NO,,GB,UNITED KINGDOM,
3742,EU.3677.37,"Kamwokya, Kampala","Plot 22, Kanjokya Street",,,,,NO,PHONE[+256 41 533 578/9],UG,UGANDA,
3742,EU.3677.37,Kampala,,PO BOX 22 709,,,,NO,,UG,UGANDA,
3743,EU.3675.10,Kampala,"Plot 55A, Upper Kololo Terrace",,,,,NO,,UG,UGANDA,
3744,EU.3652.16,Butembo,,,,,,NO,,CD,"CONGO, Democratic Republic of (was Zaire)",
3745,EU.3672.18,"Butembo, North Kivu",,,,,,NO,PHONE[+253 (0) 99 983 784],CD,"CONGO, Democratic Republic of (was Zaire)",
3746,EU.3653.78,Goma,Avenue President Mobutu,,,,,NO,,CD,"CONGO, Democratic Republic of (was Zaire)",
3746,EU.3653.78,Goma,PO Box 315,,,,,NO,,CD,"CONGO, Democratic Republic of (was Zaire)",
3746,EU.3653.78,Gisenyi,,,,,,NO,,RW,RWANDA,
3809,EU.3930.76,Tehran,"Department 145-42, Moghan  Avenue, Pasdaran Street",16765/128,,,,NO,,IR,IRAN (ISLAMIC REPUBLIC OF),
3809,EU.3930.76,Tehran,Pasdaran Street,16765/1835,,,,NO,,IR,IRAN (ISLAMIC REPUBLIC OF),
3812,EU.3939.52,Tehran,,13185/3198,,,,NO,,IR,IRAN (ISLAMIC REPUBLIC OF),
3812,EU.3939.52,Tehran,"28 Shian 5, Lavizan",,,,,NO,,IR,IRAN (ISLAMIC REPUBLIC OF),
3813,EU.3940.77,Mashad,"Amin Industrial Estate, Khalage Rd., Seyedi District",91735/549,,,,NO,,IR,IRAN (ISLAMIC REPUBLIC OF),
3815,EU.3951.43,,Khavaran Road Km 40,,,Tehran,Parchin,NO,PHONE[+98 21 88978036]\nFAX[+98 21 88960239],IR,IRAN (ISLAMIC REPUBLIC OF),
3815,EU.3951.43,Tehran,Javadian Far  Ave. 212,,,,,NO,PHONE[+98 21 88978036]\nFAX[+98 21 88960239],IR,IRAN (ISLAMIC REPUBLIC OF),
3815,EU.3951.43,Tehran,,1985/777,,,,NO,,IR,IRAN (ISLAMIC REPUBLIC OF),
3817,EU.3952.8,Tehran,"33 Fifteenth Street, Seyed Jamaleddin Assadabadi Avenue",,,,,NO,,IR,IRAN (ISLAMIC REPUBLIC OF),
3822,EU.3953.70,Tehran,"2nd Floor, Sanam  Bldg., Nobonyad Sq.",,,,,NO,WEB[http://icig.ir/]\nPHONE[+98 21 2258929; +98 21 35243153; +98 21 3130626]\n(Head Office.\nCooperative Company Registration No 892.),IR,IRAN (ISLAMIC REPUBLIC OF),Head Office.\nCooperative Company Registration No 892.
